,sname,dname,cname,enroll1012,enroll12,numtsttakr,numscr3,numscr4,numscr5
1,Clovis West High,Clovis Unified,Fresno,77,24,16,5,3,5
2,Granada High,Livermore Valley Joint Unified,Alameda,142,51,73,39,44,43
5,Charter Oak High,Charter Oak Unified,Los Angeles,59,19,17,6,4,4
6,Washington High,Fremont Unified,Alameda,448,158,58,32,31,28
7,Washington High,Fremont Unified,Alameda,279,95,53,30,27,17
8,Tennyson High,Hayward Unified,Alameda,782,243,70,20,15,11
11,LPS Oakland R & D Campus,Oakland Unified,Alameda,310,103,88,21,16,5
13,Caruthers High,Caruthers Unified,Fresno,392,122,101,11,10,4
15,Mountain View High,El Monte Union High,Los Angeles,976,330,222,77,53,25
18,San Leandro High,San Leandro Unified,Alameda,164,57,50,25,19,8
22,Oakland Unity High,Oakland Unified,Alameda,255,81,56,27,21,9
28,Centennial High,Kern High,Kern,1468,471,177,66,46,66
29,North High,Kern High,Kern,1277,404,69,22,17,5
30,Applied Technology Center,Montebello Unified,Los Angeles,334,99,48,18,11,4
33,Antelope Valley High,Antelope Valley Union High,Los Angeles,1287,454,221,49,11,4
34,Culver City High,Culver City Unified,Los Angeles,624,206,175,95,79,44
36,South El Monte High,El Monte Union High,Los Angeles,878,269,284,113,52,14
41,Arroyo High,El Monte Union High,Los Angeles,1027,370,176,52,46,33
42,Crescenta Valley High,Glendale Unified,Los Angeles,498,174,213,134,106,86
44,Argonaut High,Amador County Unified,Amador,81,23,16,3,0,0
45,Highland High,Kern High,Kern,19,3,15,11,3,1
51,North Monterey County High,North Monterey County Unified,Monterey,270,87,66,10,9,5
52,Glendora High,Glendora Unified,Los Angeles,59,26,32,17,20,21
57,"Math, Science, & Technology Magnet Academy at Roosevelt High",Los Angeles Unified,Los Angeles,397,104,167,58,26,17
58,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,476,137,178,29,19,6
63,New Open World Academy K-12,Los Angeles Unified,Los Angeles,251,77,50,11,11,5
64,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,331,100,138,32,30,17
69,Fairfax Senior High,Los Angeles Unified,Los Angeles,207,55,132,59,62,29
75,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,84,25,17,5,1,0
76,Monte Vista High,San Ramon Valley Unified,Contra Costa,164,51,58,28,24,17
78,Oak Ridge High,El Dorado Union High,El Dorado,223,77,70,46,40,21
79,San Leandro High,San Leandro Unified,Alameda,334,132,179,112,62,38
81,Montebello High,Montebello Unified,Los Angeles,74,23,16,4,3,2
82,West Adams Preparatory High,Los Angeles Unified,Los Angeles,983,252,311,95,61,26
83,Coliseum College Prep Academy,Oakland Unified,Alameda,187,61,109,17,4,2
86,Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,303,117,182,38,14,10
