dname,pctbothbenchmark
ABC Unified,65.0
Acalanes Union High,83.0
Acton-Agua Dulce Unified,31.0
Alameda County Office of Education,13.0
Alameda Unified,52.0
Albany City Unified,84.0
Alhambra Unified,64.0
Alvord Unified,37.0
Amador County Unified,62.0
Anaheim Union High,48.0
Anderson Union High,44.0
Anderson Valley Unified,20.0
Antelope Valley Union High,31.0
Antioch Unified,38.0
Apple Valley Unified,40.0
Arcadia Unified,85.0
Aromas - San Juan Unified,48.0
Atascadero Unified,66.0
Azusa Unified,39.0
Baldwin Park Unified,31.0
Banning Unified,33.0
Barstow Unified,43.0
Bassett Unified,32.0
Bear Valley Unified,56.0
Beaumont Unified,28.0
Bellflower Unified,49.0
Benicia Unified,71.0
Berkeley Unified,75.0
Beverly Hills Unified,80.0
Bishop Unified,51.0
Bonita Unified,52.0
Bonsall Unified,36.0
Borrego Springs Unified,12.0
Brawley Union High,28.0
Brea-Olinda Unified,72.0
Bret Harte Union High,63.0
Burbank Unified,69.0
Burton Elementary,27.0
Butte County Office of Education,30.0
Cabrillo Unified,57.0
Calaveras Unified,70.0
Calexico Unified,47.0
Calipatria Unified,19.0
Calistoga Joint Unified,19.0
Campbell Union High,65.0
Capistrano Unified,72.0
Carlsbad Unified,76.0
Carmel Unified,78.0
Carpinteria Unified,63.0
Caruthers Unified,21.0
Castro Valley Unified,75.0
Center Joint Unified,62.0
Centinela Valley Union High,17.0
Central Unified,25.0
Central Union High,41.0
Ceres Unified,31.0
Chaffey Joint Union High,42.0
Charter Oak Unified,52.0
Chawanakee Unified,28.0
Chico Unified,71.0
Chino Valley Unified,33.0
Chowchilla Union High,21.0
Chula Vista Elementary,27.0
Claremont Unified,67.0
Cloverdale Unified,10.0
Clovis Unified,60.0
Coachella Valley Unified,22.0
Coalinga-Huron Unified,25.0
Colton Joint Unified,33.0
Compton Unified,15.0
Conejo Valley Unified,77.0
Contra Costa County Office of Education,49.0
Corcoran Joint Unified,33.0
Corning Union High,60.0
Corona-Norco Unified,53.0
Coronado Unified,75.0
Cotati-Rohnert Park Unified,54.0
Covina-Valley Unified,19.0
Culver City Unified,53.0
Cutler-Orosi Joint Unified,14.0
Davis Joint Unified,84.0
Del Norte County Unified,42.0
Delano Joint Union High,33.0
Delhi Unified,17.0
Denair Unified,34.0
Desert Sands Unified,35.0
Dinuba Unified,30.0
Dixon Unified,63.0
Dos Palos Oro Loma Joint Unified,16.0
Downey Unified,45.0
Duarte Unified,45.0
Dublin Unified,78.0
Durham Unified,68.0
East Nicolaus Joint Union High,46.0
East Side Union High,42.0
El Dorado Union High,71.0
El Monte Union High,45.0
El Rancho Unified,32.0
El Segundo Unified,66.0
Elk Grove Unified,53.0
Escalon Unified,44.0
Escondido Union High,51.0
Esparto Unified,25.0
Eureka City Schools,55.0
Exeter Unified,30.0
Fairfield-Suisun Unified,46.0
Fallbrook Union High,49.0
Farmersville Unified,10.0
Fillmore Unified,49.0
Firebaugh-Las Deltas Unified,6.0
Folsom-Cordova Unified,68.0
Fontana Unified,28.0
Fort Bragg Unified,60.0
Fortuna Union High,58.0
Fowler Unified,24.0
Fremont Unified,79.0
Fremont Union High,87.0
Fresno Unified,32.0
Fullerton Joint Union High,61.0
Galt Joint Union High,44.0
Garden Grove Unified,51.0
Gateway Unified,42.0
Gilroy Unified,54.0
Glendale Unified,75.0
Glendora Unified,75.0
Golden Plains Unified,0.0
Golden Valley Unified,45.0
Gonzales Unified,15.0
Gorman Joint,48.0
Gridley Unified,47.0
Grossmont Union High,56.0
Gustine Unified,17.0
Hacienda la Puente Unified,27.0
Hamilton Unified,16.0
Hanford Joint Union High,38.0
Hawthorne,64.0
Hayward Unified,38.0
Healdsburg Unified,60.0
Helendale Elementary,28.0
Hemet Unified,27.0
Hesperia Unified,26.0
Hilmar Unified,35.0
Holtville Unified,35.0
Hughson Unified,58.0
Humboldt County Office of Education,67.0
Huntington Beach Union High,67.0
Imperial Unified,44.0
Inglewood Unified,19.0
Inyo County Office of Education,0.0
Irvine Unified,88.0
Jefferson Union High,47.0
John Swett Unified,47.0
Julian Union Elementary,39.0
Jurupa Unified,32.0
Kelseyville Unified,31.0
Kerman Unified,36.0
Kern County Office of Education,19.0
Kern High,35.0
Kings Canyon Joint Unified,26.0
Kingsburg Joint Union High,55.0
Konocti Unified,21.0
La Canada Unified,92.0
Laguna Beach Unified,79.0
Lake Elsinore Unified,40.0
Lake Tahoe Unified,52.0
Lakeport Unified,67.0
