,dname,dailyexpense,leatype
0,Alameda Unified,13070.34,Unified
1,Albany City Unified,13150.18,Unified
2,Berkeley Unified,17042.57,Unified
3,Castro Valley Unified,11435.98,Unified
4,Emery Unified,18339.19,Unified
5,Fremont Unified,11251.29,Unified
6,Hayward Unified,14234.14,Unified
7,Livermore Valley Joint Unified,12069.94,Unified
9,Newark Unified,12026.28,Unified
10,New Haven Unified,12396.99,Unified
11,Oakland Unified,16405.57,Unified
12,Piedmont City Unified,16833.14,Unified
13,San Leandro Unified,12590.25,Unified
14,San Lorenzo Unified,13451.42,Unified
15,Dublin Unified,10411.11,Unified
16,Pleasanton Unified,11402.3,Unified
17,Sunol Glen Unified,12908.36,Unified
18,Alpine County Unified,43009.0,Unified
19,Amador County Unified,9560.14,Unified
21,Biggs Unified,11889.24,Unified
22,Chico Unified,12377.29,Unified
23,Durham Unified,11157.05,Unified
28,Oroville Union High,14061.8,High
30,Paradise Unified,12529.36,Unified
33,Gridley Unified,11796.67,Unified
34,Bret Harte Union High,18369.99,High
35,Calaveras Unified,12070.64,Unified
38,Colusa Unified,11144.3,Unified
39,Maxwell Unified,13014.75,Unified
40,Pierce Joint Unified,10673.06,Unified
41,Williams Unified,12711.57,Unified
42,Acalanes Union High,14765.41,High
43,Antioch Unified,13563.04,Unified
47,John Swett Unified,12691.46,Unified
50,Liberty Union High,11719.64,High
51,Martinez Unified,11498.08,Unified
53,Mt. Diablo Unified,12910.99,Unified
56,Pittsburg Unified,13132.49,Unified
57,West Contra Costa Unified,13509.02,Unified
58,San Ramon Valley Unified,10935.97,Unified
60,Del Norte County Unified,13173.89,Unified
63,El Dorado Union High,12340.81,High
67,Lake Tahoe Unified,13379.55,Unified
75,Black Oak Mine Unified,12028.07,Unified
80,Clovis Unified,10872.13,Unified
81,Coalinga-Huron Unified,13609.25,Unified
82,Fowler Unified,12662.95,Unified
83,Fresno Unified,13640.9,Unified
85,Kingsburg Joint Union High,12529.68,High
86,Kings Canyon Joint Unified,12915.69,Unified
87,Laton Joint Unified,15300.01,Unified
91,Parlier Unified,13088.4,Unified
94,Sanger Unified,12172.86,Unified
95,Selma Unified,13765.68,Unified
99,Firebaugh-Las Deltas Unified,13945.53,Unified
100,Central Unified,11678.23,Unified
101,Kerman Unified,11061.71,Unified
102,Mendota Unified,12017.04,Unified
103,Golden Plains Unified,15466.58,Unified
104,Sierra Unified,14413.77,Unified
105,Riverdale Joint Unified,13757.01,Unified
106,Caruthers Unified,12483.34,Unified
107,Washington Unified,14187.3,Unified
111,Princeton Joint Unified,16275.6,Unified
112,Stony Creek Joint Unified,30102.17,Unified
113,Willows Unified,9809.8,Unified
114,Orland Joint Unified,12112.79,Unified
115,Hamilton Unified,11459.82,Unified
117,Northern Humboldt Union High,14543.06,High
124,Fortuna Union High,13306.82,High
130,Klamath-Trinity Joint Unified,21840.37,Unified
141,Southern Humboldt Joint Unified,13687.42,Unified
143,Ferndale Unified,14632.01,Unified
144,Mattole Unified,34830.87,Unified
145,Eureka City Unified,12578.03,Unified
148,Brawley Union High,13767.88,High
149,Calexico Unified,13416.99,Unified
150,Calipatria Unified,14587.3,Unified
151,Central Union High,13232.1,High
154,Holtville Unified,12918.36,Unified
155,Imperial Unified,11204.9,Unified
160,San Pasqual Valley Unified,23370.82,Unified
163,Big Pine Unified,28506.12,Unified
164,Death Valley Unified,51755.83,Unified
165,Lone Pine Unified,16910.13,Unified
166,Owens Valley Unified,26920.62,Unified
168,Bishop Unified,11830.63,Unified
178,Delano Joint Union High,14140.48,High
186,Kern High,13689.28,High
194,Maricopa Unified,20294.8,Unified
197,Mojave Unified,12883.01,Unified
198,Muroc Joint Unified,11382.27,Unified
203,Southern Kern Unified,12550.55,Unified
207,Taft Union High,22271.95,High
208,Tehachapi Unified,10757.52,Unified
211,Wasco Union High,12232.49,High
213,Sierra Sands Unified,11817.97,Unified
214,Mcfarland Unified,12621.94,Unified
215,El Tejon Unified,12602.75,Unified
218,Corcoran Joint Unified,12734.13,Unified
220,Hanford Joint Union High,12895.83,High
