,sname,dname,cname,enroll,numtsttakr,pcterwbenchmark,pctmathbenchmark,pctbothbenchmark
2,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,30.39,13.73,13.73
3,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,47.79,15.93,15.93
5,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,64.15,33.96,33.96
6,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,84.74,72.63,69.47
7,Abraham Lincoln Continuation,Riverside Unified,Riverside,114.0,17.0,17.65,11.76,11.76
8,Calipatria High,Calipatria Unified,Imperial,91.0,27.0,51.85,22.22,18.52
9,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,25.0,8.82,8.82
10,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,72.55,43.14,40.2
13,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,66.18,44.12,42.65
15,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,71.05,34.21,31.58
17,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,80.65,37.63,36.02
18,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,68.75,51.56,43.75
20,Clovis East High,Clovis Unified,Fresno,584.0,237.0,67.93,43.46,39.66
22,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,50.0,26.04,20.31
23,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,62.69,42.49,39.38
24,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,60.87,30.43,30.43
25,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,91.49,70.21,68.09
26,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,89.59,85.5,79.93
27,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,87.64,71.91,69.66
28,University High,Irvine Unified,Orange,633.0,205.0,92.2,90.24,87.32
29,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,61.92,49.13,44.48
30,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,46.99,24.1,23.29
32,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,67.47,30.12,27.71
33,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,44.58,10.84,9.64
34,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,37.77,19.85,16.95
37,Mills High,San Mateo Union High,San Mateo,299.0,147.0,93.2,89.8,85.71
38,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,82.56,61.63,59.3
39,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,88.2,80.34,74.16
41,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,58.82,35.29,35.29
44,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,98.11,91.25,91.02
47,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,92.62,81.21,79.87
48,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,90.91,66.67,66.67
50,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,44.44,11.11,5.56
51,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,80.0,44.0,44.0
52,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,61.04,23.38,23.38
54,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,86.89,64.75,63.93
55,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,37.04,0.0,0.0
56,Sierra High,Sierra Unified,Fresno,91.0,28.0,92.86,53.57,53.57
58,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,60.71,36.61,32.14
59,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,556.0,82.37,65.11,63.31
60,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118.0,79.0,7.59,0.0,0.0
61,Chino High,Chino Valley Unified,San Bernardino,432.0,354.0,49.15,23.73,21.75
63,Claremont High,Claremont Unified,Los Angeles,591.0,263.0,88.97,68.82,66.54
64,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,31.0,35.48,3.23,3.23
65,Los Banos High,Los Banos Unified,Merced,303.0,95.0,65.26,37.89,35.79
66,Options for Youth-San Bernardino,San Bernardino City Unified,San Bernardino,52.0,17.0,64.71,29.41,29.41
67,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,202.0,50.99,25.25,22.77
68,Middle College High,San Bernardino City Unified,San Bernardino,67.0,50.0,76.0,52.0,46.0
70,Bear Creek High,Lodi Unified,San Joaquin,450.0,173.0,72.25,63.01,57.8
72,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,29.0,58.62,20.69,17.24
73,Torrance High,Torrance Unified,Los Angeles,509.0,218.0,83.49,60.55,58.26
74,El Capitan High,Merced Union High,Merced,373.0,142.0,64.08,32.39,30.99
75,Merced High,Merced Union High,Merced,400.0,110.0,70.91,42.73,39.09
76,El Camino Fundamental High,San Juan Unified,Sacramento,321.0,119.0,85.71,63.03,62.18
78,Point Loma High,San Diego Unified,San Diego,456.0,191.0,87.96,70.16,69.11
80,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,123.0,47.15,24.39,21.14
81,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,80.0,77.5,66.25,60.0
82,Chowchilla Union High,Chowchilla Union High,Madera,262.0,86.0,55.81,23.26,20.93
85,Colfax High,Placer Union High,Placer,125.0,51.0,80.39,58.82,54.9
86,Herbert Hoover High,Glendale Unified,Los Angeles,351.0,100.0,85.0,72.0,69.0
87,Compton High,Compton Unified,Los Angeles,354.0,65.0,38.46,13.85,13.85
89,Saddleback High,Santa Ana Unified,Orange,383.0,321.0,33.02,24.92,19.94
91,Hesperia High,Hesperia Unified,San Bernardino,445.0,108.0,53.7,19.44,14.81
92,La Costa Canyon High,San Dieguito Union High,San Diego,523.0,183.0,94.54,79.23,79.23
95,Etna Union High,Scott Valley Unified,Siskiyou,43.0,16.0,56.25,43.75,37.5
98,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,21.0,95.24,52.38,47.62
99,Stockdale High,Kern High,Kern,550.0,242.0,83.06,62.4,59.09
101,La Serna High,Whittier Union High,Los Angeles,609.0,296.0,84.12,63.18,60.47
102,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75.0,15.0,60.0,20.0,20.0
106,Silverado High,Victor Valley Union High,San Bernardino,546.0,114.0,55.26,19.3,19.3
107,Stagg Senior High,Stockton Unified,San Joaquin,368.0,73.0,52.05,23.29,20.55
108,Summit Public School: Rainier,East Side Union High,Santa Clara,105.0,49.0,87.76,46.94,44.9
109,Mountain House High,Lammersville Joint Unified,San Joaquin,283.0,132.0,86.36,62.12,60.61
110,Farmersville High,Farmersville Unified,Tulare,170.0,60.0,35.0,10.0,10.0
111,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,68.0,52.94,23.53,23.53
112,Fairfield High,Fairfield-Suisun Unified,Solano,304.0,60.0,58.33,25.0,23.33
113,Tulare Union High,Tulare Joint Union High,Tulare,382.0,130.0,59.23,51.54,44.62
115,Chula Vista Senior High,Sweetwater Union High,San Diego,672.0,209.0,67.46,31.1,30.62
117,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,204.0,97.06,89.71,89.22
118,Albany High,Albany City Unified,Alameda,296.0,114.0,93.86,85.09,84.21
122,Hueneme High,Oxnard Union High,Ventura,491.0,402.0,29.1,18.16,15.67
123,Modesto High,Modesto City High,Stanislaus,585.0,235.0,64.26,45.53,42.13
124,Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,112.0,86.61,78.57,75.0
128,Sonora High,Fullerton Joint Union High,Orange,410.0,163.0,85.89,65.03,63.19
129,Garden Grove High,Garden Grove Unified,Orange,569.0,215.0,81.4,60.93,59.07
131,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,55.0,47.27,29.09,25.45
132,Poway High,Poway Unified,San Diego,533.0,186.0,89.78,82.26,79.57
135,John H. Pitman High,Turlock Unified,Stanislaus,511.0,221.0,76.92,45.25,43.89
136,Taft Union High,Taft Union High,Kern,204.0,46.0,71.74,32.61,32.61
142,Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,153.0,38.0,65.79,26.32,23.68
144,Mission San Jose High,Fremont Unified,Alameda,490.0,149.0,98.66,95.3,95.3
145,Liberty High,Liberty Union High,Contra Costa,610.0,203.0,80.3,56.65,53.69
146,Mendota High,Mendota Unified,Fresno,223.0,69.0,33.33,15.94,13.04
148,Los Alamitos High,Los Alamitos Unified,Orange,758.0,319.0,91.54,73.35,71.16
149,Temescal Canyon High,Lake Elsinore Unified,Riverside,496.0,238.0,67.65,46.22,42.86
150,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,282.0,52.84,28.72,23.4
151,Pittsburg Senior High,Pittsburg Unified,Contra Costa,716.0,277.0,59.21,34.66,32.13
153,Anaheim High,Anaheim Union High,Orange,722.0,137.0,64.96,40.15,35.04
154,Rancho Verde High,Val Verde Unified,Riverside,505.0,471.0,47.35,21.44,19.96
155,Jurupa Hills High,Fontana Unified,San Bernardino,466.0,138.0,58.7,32.61,29.71
156,LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,42.0,38.1,16.67,16.67
158,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47.0,36.0,22.22,19.44,13.89
159,Blair High,Pasadena Unified,Los Angeles,156.0,64.0,68.75,43.75,42.19
160,Pasadena High,Pasadena Unified,Los Angeles,414.0,202.0,71.29,50.99,47.03
162,Redlands East Valley High,Redlands Unified,San Bernardino,545.0,376.0,72.07,53.46,51.6
163,Grove,Redlands Unified,San Bernardino,31.0,19.0,84.21,73.68,68.42
164,Ramona High,Ramona City Unified,San Diego,352.0,113.0,80.53,61.95,58.41
165,Vista High (Alternative),West Contra Costa Unified,Contra Costa,170.0,26.0,46.15,11.54,11.54
166,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,129.0,24.03,2.33,1.55
167,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609.0,260.0,95.77,87.69,86.54
168,San Marin High,Novato Unified,Marin,266.0,110.0,92.73,70.91,70.91
169,Twentynine Palms High,Morongo Unified,San Bernardino,172.0,29.0,89.66,44.83,44.83
170,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53.0,23.0,60.87,34.78,30.43
172,Clovis West High,Clovis Unified,Fresno,486.0,173.0,89.02,71.68,69.94
173,Downey High,Downey Unified,Los Angeles,1050.0,396.0,71.97,49.49,46.46
174,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129.0,40.0,40.0,22.5,17.5
175,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,52.0,28.85,15.38,13.46
176,Livingston High,Merced Union High,Merced,291.0,91.0,62.64,34.07,32.97
177,Hamilton High,Hemet Unified,Riverside,54.0,52.0,36.54,23.08,21.15
179,Charter School of San Diego,San Diego Unified,San Diego,499.0,23.0,78.26,43.48,43.48
180,Weston Ranch High,Manteca Unified,San Joaquin,285.0,104.0,68.27,34.62,33.65
181,Bret Harte Union High,Bret Harte Union High,Calaveras,152.0,46.0,91.3,63.04,63.04
182,Pierce High,Pierce Joint Unified,Colusa,103.0,21.0,52.38,14.29,14.29
183,North Monterey County High,North Monterey County Unified,Monterey,297.0,110.0,57.27,27.27,27.27
185,Morro Bay High,San Luis Coastal Unified,San Luis Obispo,197.0,49.0,93.88,75.51,75.51
187,Minarets High,Chawanakee Unified,Madera,36.0,20.0,65.0,35.0,35.0
190,Sheldon High,Elk Grove Unified,Sacramento,614.0,217.0,78.34,53.0,51.15
192,Orange Glen High,Escondido Union High,San Diego,497.0,127.0,65.35,31.5,29.92
193,Steele Canyon High,Grossmont Union High,San Diego,511.0,219.0,85.84,69.41,64.84
196,Fountain Valley High,Huntington Beach Union High,Orange,805.0,335.0,91.64,84.48,80.6
197,Indio High,Desert Sands Unified,Riverside,517.0,174.0,47.13,13.22,13.22
198,Buchanan High,Clovis Unified,Fresno,667.0,299.0,89.63,64.55,63.21
199,California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329.0,22.0,77.27,31.82,31.82
202,Leigh High,Campbell Union High,Santa Clara,415.0,165.0,92.73,78.18,76.97
206,Winters High,Winters Joint Unified,Yolo,102.0,31.0,77.42,51.61,51.61
209,Durham High,Durham Unified,Butte,72.0,31.0,96.77,67.74,67.74
211,TEACH Tech Charter High,Los Angeles Unified,Los Angeles,70.0,46.0,21.74,15.22,13.04
212,Canyon Springs High,Moreno Valley Unified,Riverside,494.0,439.0,43.96,18.22,17.08
213,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112.0,46.0,78.26,58.7,56.52
214,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102.0,34.0,23.53,8.82,8.82
216,Evergreen Valley High,East Side Union High,Santa Clara,712.0,344.0,91.86,85.76,83.43
217,Redwood High,Visalia Unified,Tulare,494.0,142.0,81.69,55.63,54.23
219,Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34.0,34.0,61.76,44.12,41.18
220,Valley High,Santa Ana Unified,Orange,466.0,407.0,25.31,12.04,9.58
222,Vista Nueva Career and Technology High,Twin Rivers Unified,Sacramento,107.0,45.0,6.67,8.89,2.22
223,Torrey Pines High,San Dieguito Union High,San Diego,627.0,175.0,95.43,88.57,86.29
224,Templeton High,Templeton Unified,San Luis Obispo,171.0,52.0,90.38,61.54,61.54
227,Montgomery Senior High,Sweetwater Union High,San Diego,452.0,121.0,60.33,34.71,32.23
228,Mission Vista High,Vista Unified,San Diego,391.0,182.0,85.16,71.43,68.13
230,Sonoma Valley High,Sonoma Valley Unified,Sonoma,279.0,91.0,78.02,58.24,54.95
231,Jordan High,Long Beach Unified,Los Angeles,606.0,463.0,24.41,11.23,9.5
233,Mira Costa High,Manhattan Beach Unified,Los Angeles,594.0,205.0,98.54,87.32,87.32
234,Murrieta Mesa High,Murrieta Valley Unified,Riverside,574.0,225.0,76.89,55.56,53.33
236,Gunderson High,San Jose Unified,Santa Clara,246.0,49.0,87.76,63.27,63.27
237,Ventura High,Ventura Unified,Ventura,480.0,119.0,87.39,64.71,63.87
238,Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248.0,140.0,52.86,36.43,29.29
240,Burroughs High,Burbank Unified,Los Angeles,584.0,291.0,84.19,70.79,67.01
245,Inspire School of Arts and Sciences,Chico Unified,Butte,94.0,22.0,95.45,77.27,77.27
249,Design Science Middle College High,Fresno Unified,Fresno,63.0,60.0,86.67,58.33,53.33
251,South High,Kern High,Kern,508.0,152.0,50.0,29.61,24.34
252,West High,Kern High,Kern,537.0,122.0,51.64,27.87,25.41
254,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157.0,102.0,49.02,22.55,21.57
255,Saugus High,William S. Hart Union High,Los Angeles,546.0,202.0,89.6,71.29,68.81
256,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,51.0,94.12,84.31,84.31
260,Lighthouse Community Charter High,Oakland Unified,Alameda,64.0,43.0,58.14,32.56,30.23
261,Central Union High,Central Union High,Imperial,403.0,91.0,70.33,43.96,41.76
262,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,43.0,25.0,36.0,12.0,12.0
263,Sun Valley High,Los Angeles Unified,Los Angeles,85.0,54.0,18.52,1.85,0.0
267,Deer Valley High,Antioch Unified,Contra Costa,533.0,118.0,71.19,56.78,50.0
270,Kelseyville High,Kelseyville Unified,Lake,124.0,45.0,68.89,31.11,31.11
271,Lower Lake High,Konocti Unified,Lake,121.0,33.0,72.73,21.21,21.21
272,William & Marian Ghidotti High,Nevada Joint Union High,Nevada,45.0,32.0,100.0,100.0,100.0
273,Irvine High,Irvine Unified,Orange,533.0,168.0,92.86,90.48,85.71
274,Chaparral High,Temecula Valley Unified,Riverside,722.0,287.0,82.58,58.19,56.1
276,Chula Vista Learning Community Charter,Chula Vista Elementary,San Diego,99.0,74.0,78.38,27.03,27.03
280,Desert Junior-Senior High,Muroc Joint Unified,Kern,84.0,30.0,93.33,63.33,60.0
281,Crescenta Valley High,Glendale Unified,Los Angeles,631.0,266.0,95.11,87.59,85.71
283,Marina High,Monterey Peninsula Unified,Monterey,145.0,78.0,74.36,41.03,39.74
285,Gorman Learning Center,Gorman Joint,Los Angeles,113.0,25.0,88.0,48.0,48.0
286,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95.0,47.0,51.06,21.28,21.28
289,La Puente High,Hacienda la Puente Unified,Los Angeles,254.0,193.0,43.01,24.35,21.76
290,William Workman High,Hacienda la Puente Unified,Los Angeles,229.0,206.0,36.89,18.93,15.53
291,Paloma Valley High,Perris Union High,Riverside,717.0,256.0,72.27,43.36,39.84
293,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34.0,22.0,54.55,31.82,27.27
294,La Canada High,La Canada Unified,Los Angeles,346.0,170.0,95.88,92.94,91.76
300,John F. Kennedy High,Fremont Unified,Alameda,310.0,124.0,79.84,57.26,54.84
302,Lassen High,Lassen Union High,Lassen,188.0,40.0,80.0,42.5,40.0
303,Da Vinci Design,Wiseburn Unified,Los Angeles,164.0,47.0,70.21,23.4,21.28
305,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140.0,106.0,66.04,52.83,48.11
307,Fortuna Union High,Fortuna Union High,Humboldt,183.0,56.0,73.21,51.79,48.21
308,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133.0,42.0,35.71,16.67,14.29
311,High Tech High Chula Vista,SBC - High Tech High,San Diego,147.0,91.0,64.84,21.98,20.88
313,Skyline High,Oakland Unified,Alameda,398.0,138.0,62.32,33.33,31.16
315,Fort Bragg High,Fort Bragg Unified,Mendocino,107.0,30.0,90.0,60.0,60.0
316,Bolsa Grande High,Garden Grove Unified,Orange,477.0,245.0,75.51,57.96,53.06
317,C. K. McClatchy High,Sacramento City Unified,Sacramento,504.0,113.0,81.42,60.18,56.64
318,San Leandro High,San Leandro Unified,Alameda,662.0,193.0,71.5,43.01,39.9
